,east,north,depth,strike,dip,slip_m,rake,fault_name,point_index,htm_ind,zz_stress,xy_stress,xz_stress,yz_stress,xx_stress,yy_stress,tau_dd,tau_ss,sig_nn
464,439204.2210061925,3199279.9498124337,-7126.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,134,855,128.6112756696115,0.7383714536931816,-2.529654644251106,-3.3425650115621215,94.97592082694771,92.50030026524765,-14.50442637322167,-1.4982456400672401,102.82063899554551
465,436783.8437967383,3206826.734195698,-7206.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,135,855,131.9262335200364,0.9050225311900608,-1.1602329511207874,-4.66102148280847,94.81441652896197,91.68839609534713,-16.40150059943575,-2.5601268487775957,104.58302854308873
466,435039.1402946785,3214963.3663014737,-6930.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,136,855,134.9407137968872,1.4757036606274672,-1.5852442998766128,-3.3960976602784747,93.05212210587314,89.5478956543712,-18.508183847259886,-1.549623213675586,104.66517481262184
467,432532.6741577047,3219125.0936631537,-6480.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,137,855,134.32321317524125,2.533225679456365,-1.773506244686186,-1.9840982381585794,92.00552280479806,89.07943142604411,-18.456425760267706,0.049675718218009535,104.58866897208469
468,430265.5501430239,3221437.5301949843,-6538.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,138,855,133.72659274625084,3.4103536548479108,-2.2596301317497813,-1.3062153387350899,92.02913489604006,89.45956812144908,-17.796646587618504,1.145685996819147,104.63044221957267
469,429082.0300518771,3222460.1516355393,-6696.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,139,855,133.58477385908955,3.5525227699275987,-2.5847147954282077,-0.471213168731696,92.3021236792639,89.50852908938639,-17.568475868349047,1.6854514445155355,104.80544763952021
470,427798.98556996224,3223370.583035672,-6754.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,140,855,132.81339246547324,3.4386535779261798,-2.723413954231579,0.6198510106434135,92.86363067373989,89.76721956362785,-17.084488511435552,2.146381211041504,105.09522361414184
471,426319.9768464293,3224620.989801735,-6855.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,141,855,131.67112314750278,2.859950393022396,-2.3558157049378217,1.5266334301600033,93.50370393370675,90.56413118054721,-16.64666453244576,2.2462829697570634,105.53007599022646
472,425334.5998743625,3225529.9636864704,-7133.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,142,855,131.41976638753667,2.4041636636794927,-1.7019928643669,1.595298111709556,93.56303276220675,91.06706588778518,-16.834118405047818,1.9918360692673829,105.9184462518537
473,423954.50998792576,3226667.2109767688,-7211.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,143,855,131.6133418178804,2.0117713278338267,-0.8078684627317896,1.744722608129508,93.67309476808256,91.75598939509094,-17.265530043631216,1.8072051140283119,106.76510035224136
474,445406.3295780053,3164831.1388933407,-8516.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,144,855,127.00966175532518,3.23179026850393,2.59609607383704,1.7055352588879027,86.75717533639822,91.80612040390616,-18.638142410378727,3.735786016652283,104.72368573499895
475,441600.8476672357,3174050.065080808,-8955.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,145,855,128.35475993291232,3.4554345875305152,0.5757349660556336,0.7608220176987486,87.92783434531962,90.78318952156926,-18.02015163307899,3.1808772358401525,103.77466070044395
476,440478.92882553104,3181015.4855239214,-8641.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,146,855,127.48090515232624,3.0509739634941364,-1.0002940071194493,-0.1750138057455184,89.85477179269667,91.06431716241607,-16.311138969469773,2.305348259996966,102.7622881780755
477,441656.27578336716,3186643.4252532236,-8355.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,147,855,128.1548288558742,2.577566415927586,-2.457450568130146,-1.2881263248798578,90.76688968504381,90.99089002432642,-15.804748270602644,1.4483944410819756,101.64862034111015
478,443120.23514265625,3188200.1012498075,-8455.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,148,855,129.2432474002099,2.416272352319755,-2.833529973533995,-1.79502590057791,90.11311801323367,90.61980863600843,-16.47495972454113,1.2320365426472395,101.02014245128058
