east,north,depth,EVENT_ID,strike,dip,rake,slip_m,point_index,zz_stress,xy_stress,xz_stress,yz_stress,xx_stress,yy_stress,tau_dd,tau_ss,sig_nn
815349.4156020994,3361023.7123383037,-15000.0,253484,161.0,51.0,-121.0,0.07866064270934865,253484,138.5614957217218,0.8986211322007315,-0.6898201605590082,3.185032049258735,86.02155274727133,85.31854883810114,-25.541759542541314,2.418673508936519,107.49512335481873
562414.4914001271,3193751.1806865223,-15000.0,244089,161.0,46.0,-121.0,0.22169581277431905,244089,130.58882288156983,-0.20982724834166058,3.0809415113578416,2.052309089256215,83.16877636523185,80.3455906248711,-24.03464575024683,-0.09289141608279694,109.40871561311334
614511.01250429,3335671.099871322,-5000.0,973371,7.0,49.0,-72.0,0.027909849238995057,973371,139.8674459661473,1.640946239438506,-0.9786692382617477,-0.5773863971618425,95.70416382873742,96.51626850271687,-22.182726891716335,1.5817376604525277,115.38562968982194
627609.2600678013,3294029.876379137,-15000.0,973371,8.0,46.0,-78.0,0.027909849238995057,973371,134.70588718102078,0.12129600260766625,0.44246704191043135,-2.566767169871118,86.4084055735466,85.58885808967956,-24.130910280868015,1.888018970982419,108.89395184461212
661497.5384283417,3291143.5548377363,-15000.0,978153,150.0,70.0,-115.0,0.013988060131046304,978153,133.64584303469033,-0.2967542395611662,-0.21151180604034142,-2.274916457030471,85.56116705920684,85.3016816113509,-14.545899933204076,-0.8826685700274499,90.0529025544366
-125465.15633540088,3319226.7700756565,-14000.0,1005021,101.0,75.0,112.0,0.013988060131046304,1005021,58.79594410924035,1.4297142754542054,-8.789680313050575,-13.950311396485883,48.137869356937486,48.66137507820404,10.907298558380424,0.35847774616426986,42.13660524099023
612984.7775816183,3334214.4578436194,-5000.0,1167690,181.0,43.0,-111.0,0.03942370991484183,1167690,139.83274954531436,1.0564481032214823,-0.6213797651168431,-1.2826120928398383,95.34733101873839,96.55621805100161,-22.248510516096943,-0.2401610857068731,118.52719413238708
642027.0521966494,3300854.6323636607,-15000.0,1167690,187.0,59.0,-95.0,0.03942370991484183,1167690,135.11581770047636,-0.06829010903485695,0.6082229457289335,-2.404047075163744,87.03707237275992,86.0283253680368,-21.645787465499033,-1.1429766454447852,100.58348553267484
644781.3202192335,3311974.5489485087,-15700.0,1167969,214.0,47.0,-90.0,0.003513641844631528,1167969,135.80859009682115,-0.14469066879602216,0.7725123087429564,-1.6615141069698829,86.51743384443131,85.98788295486173,-24.71070761105036,-0.5049087036080084,110.99273528845086
606879.009371491,3328057.7002241127,-11000.0,1178729,24.0,64.0,-53.0,0.027909849238995057,1178729,136.9114608870422,-0.14857894473514177,-0.20968811482582428,-0.8822227692864307,91.44963734683847,91.8152078717919,-17.74188650944472,0.17924774748398475,100.19224295471379
626529.0358766109,3303992.633754938,-15000.0,1178729,162.0,48.0,-112.0,0.05568747040302994,1178729,135.44487834554494,0.1424894111533032,0.6317513337836196,-2.123810984381183,86.82547899695636,86.39473064667492,-24.149537745570797,-1.4905924287717176,108.56250219097375
635888.9047074439,3328488.2097977675,-15000.0,1179437,199.0,45.0,-90.0,0.003513641844631528,1179437,137.48681098802945,-0.27903883301068877,1.1154825837715385,-1.0295683879752704,87.45088964078904,87.71534040221445,-24.91804876441227,-0.6446000292024784,113.95866640729122
-8685.122551300447,3287106.9954945645,-15000.0,2379218,104.0,87.0,92.0,0.01975866011154356,2379218,73.61625849225396,-0.5646498615533637,0.6835910324926637,-10.926572865326754,59.09656841270482,60.76160428923188,9.688672104552179,0.715123488975127,59.34434654798824
-37581.974381630076,3210535.4849769766,-15000.0,2408305,119.0,64.0,99.0,0.013988060131046304,2408305,32.71909577650461,0.42679358470059237,-7.015059100341729,-8.267881321655953,29.556565298748325,29.045300366254875,5.288306844505458,0.5343606929790274,21.762449943466915
