east,north,depth,EVENT_ID,strike,dip,rake,slip_m,point_index
957851.2237695523,3017037.03697067,15.1,13911850,96.0,83.0,88.0,0.004963151023899577,13911850
403835.9816068157,3262685.234321422,5.7,13921043,206.0,41.0,-68.0,0.013988060131046304,13921043
430081.350212744,3242546.819394573,18.8,13921043,178.0,43.0,-92.0,0.01975866011154356,13921043
416739.19564730127,3276988.338655915,10.0,13921043,194.0,48.0,-76.0,0.013988060131046304,13921043
184529.18531869282,3389887.0177489608,18.9,13946918,115.0,46.0,-136.0,0.003513641844631528,13946918
203199.2971659195,3370490.4386318526,16.4,14212626,207.0,71.0,10.0,0.007010637160891007,14212626
477471.95758234034,3142643.0434186356,84.5,14335107,12.0,69.0,-16.0,0.004963151023899577,14335107
20047.971752348065,3388171.2410362954,22.5,14409376,202.0,76.0,-19.0,0.0024874679317426,14409376
-146943.34918290505,3287548.399146468,14.1,14883226,318.0,25.0,140.0,0.003513641844631528,14883226
841318.9474469004,3299634.339846657,20.8,15678238,199.0,49.0,-59.0,0.009902788201486006,15678238
474202.625019354,3420767.2126592915,27.0,15895688,9.0,59.0,-73.0,0.004963151023899577,15895688
-110730.98831253417,3272141.732518343,18.8,601129074,96.0,67.0,70.0,0.013988060131046304,601129074
-104841.42756372155,3301696.4347630176,26.1,601129074,98.0,46.0,69.0,,601129074
595786.0840741146,3045514.628891252,60.0,17238846,308.0,86.0,-164.0,2.4874679317425996,17238846
633422.4145042963,3035895.2424779763,46.0,17238846,310.0,79.0,-162.0,2.4874679317425996,17238846
613848.7145031475,3067827.664762557,50.0,17238846,219.0,75.0,-5.0,,17238846
614005.8141779219,3103283.887273498,35.0,17238846,220.0,78.0,0.0,2.4874679317425996,17238846
1103230.132511084,2909656.96626526,46.1,601002723,336.0,84.0,173.0,0.013988060131046304,601002723
1089119.1248529023,2908450.3424227796,43.3,601002723,71.0,87.0,8.0,0.013988060131046304,601002723
171334.40467360883,3398052.5003754897,20.3,601036816,317.0,75.0,-138.0,0.0017609924360678943,601036816
1274307.0302096093,2853054.9759411756,58.0,601224672,252.0,83.0,7.0,0.027909849238995057,601224672
