Search summary:
Database: ISC Bulletin
Search type: Rectangular search
Latitude range: 25 to 31
Longitude range: 78 to 95
Start date: 1904-09-01 00:00:00
End date: 2013-10-01 00:00:00
Events found: 98


DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
ISC Bulletin
--EVENT--|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
   978153,HRVD     ,1996-07-31,08:00:34.00, 29.7400,  88.6700, 15.0,TRUE    ,HRVD     ,17,1.790, 5.4,17,-1.060,-0.330, 1.400,-0.860,-0.100, 0.930, 23.00,32.00, -41.00,150.00,70.00,-115.00,17, 1.780,21.00,258.00,-1.800,58.00, 26.00, 0.020,23.00,159.00
  1005021,NEIC     ,1997-01-05,08:47:25.40, 29.8450,  80.5320, 14.0,        ,NEIC     ,17,1.600, 5.4,17, 0.890,-0.750,-0.140, 1.210,-0.430,-0.590,101.00,75.00, 112.00,225.00,26.00,  37.00,17, 1.800,55.00, 38.00,-1.400,26.00,174.00,-0.400,21.00,275.00
  1005021,HRVD     ,1997-01-05,08:47:31.60, 29.4300,  80.2900, 15.0,TRUE    ,HRVD     ,17,2.450, 5.5,17, 1.230,-1.290, 0.070, 1.690, 0.700,-1.090,122.00,73.00,  97.00,279.00,19.00,  68.00,17, 2.290,62.00, 42.00,-2.610,27.00,206.00, 0.320, 7.00,300.00
  1050533,HRVD     ,1997-11-03,02:29:56.80, 28.6000,  85.3900, 33.0,TRUE    ,HRVD     ,17,2.170, 5.5,17,-1.720,-0.210, 1.930,-0.200, 0.340, 1.100, 21.00,31.00, -70.00,178.00,61.00,-102.00,17, 2.270,15.00,277.00,-2.070,72.00, 61.00,-0.200,10.00,184.00
  1167690,NEIC     ,1998-07-20,01:05:58.35, 30.1340,  88.1730,  5.0,        ,NEIC     ,17,5.200, 5.7,17,-4.730,-0.180, 4.910,-1.290, 1.500,-0.420, 29.00,51.00, -72.00,181.00,43.00,-111.00,17, 5.370, 4.00,106.00,-5.070,75.00,360.00,-0.300,14.00,197.00
  1167690,HRVD     ,1998-07-20,01:06:07.00, 29.8300,  88.4700, 15.0,TRUE    ,HRVD     ,17,4.770, 5.7,17,-4.300, 0.270, 4.030, 0.060, 0.810, 2.180, 16.00,32.00, -83.00,187.00,59.00, -95.00,17, 4.710,13.00,280.00,-4.840,76.00, 84.00, 0.130, 4.00,190.00
  1167969,HRVD     ,1998-07-21,14:40:54.20, 29.9300,  88.5000, 15.7,TRUE    ,HRVD     ,16,4.500, 5.0,16,-5.450, 2.430, 3.020, 0.180, 0.750, 0.240, 34.00,43.00, -90.00,214.00,47.00, -90.00,16, 3.540, 2.00,304.00,-5.460,88.00,124.00, 1.920, 0.00, 34.00
  1178729,NEIC     ,1998-08-25,07:41:40.19, 30.0790,  88.1090, 11.0,        ,NEIC     ,17,3.700, 5.6,17,-2.300,-1.220, 3.520,-1.460,-0.490,-1.300, 24.00,64.00, -53.00,144.00,44.00,-141.00,17, 3.800,12.00, 88.00,-3.570,55.00,341.00,-0.230,33.00,185.00
  1178729,HRVD     ,1998-08-25,07:41:52.60, 29.8600,  88.3100, 15.0,TRUE    ,HRVD     ,17,6.810, 5.8,17,-6.080,-0.950, 7.040,-1.640,-0.290, 0.140, 14.00,46.00, -67.00,162.00,48.00,-112.00,17, 7.050, 1.00,268.00,-6.560,74.00,  1.00,-0.490,16.00,177.00
  1179437,HRVD     ,1998-08-28,22:02:02.40, 30.0800,  88.4100, 15.0,TRUE    ,HRVD     ,16,3.630, 5.0,16,-4.150, 1.270, 2.880, 0.000, 0.650, 0.000, 19.00,45.00, -90.00,199.00,45.00, -90.00,16, 3.110, 0.00,109.00,-4.150,90.00,180.00, 1.040, 0.00, 19.00
  1206983,HRVD     ,1998-09-26,18:27:13.90, 27.8700,  93.6000, 33.0,TRUE    ,HRVD     ,16,3.600, 5.0,16, 2.210,-0.480,-1.730, 0.850,-1.760, 2.320, 22.00,67.00,  77.00,233.00,26.00, 118.00,16, 3.280,65.00,270.00,-3.910,21.00,122.00, 0.630,12.00, 27.00
  1207628,HRVD     ,1998-09-30,02:29:59.10, 29.6400,  88.2500, 33.0,TRUE    ,HRVD     ,16,6.110, 5.1,16,-4.760, 0.400, 4.360, 0.340,-2.790,-3.000,139.00,32.00,-112.00,345.00,60.00, -76.00,16, 6.520,14.00, 65.00,-5.700,71.00,286.00,-0.820,12.00,158.00
  1310080,HRVD     ,1998-10-05,10:24:56.90, 29.8900,  88.6000, 33.0,TRUE    ,HRVD     ,16,7.110, 5.2,16,-5.530,-0.170, 5.690, 0.450, 2.130, 3.850, 26.00,29.00, -77.00,191.00,62.00, -97.00,16, 7.500,17.00,287.00,-6.730,72.00, 84.00,-0.770, 6.00,195.00
  1547491,NEIC     ,1999-03-28,19:05:11.03, 30.5120,  79.4030, 15.0,        ,NEIC     ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,107.00,77.00,  90.00,287.00,13.00,  90.00,  ,      ,58.00, 17.00,      ,31.00,200.00,      , 0.00,  0.00
  1547491,NEIC     ,1999-03-28,19:05:11.03, 30.5120,  79.4030, 15.0,        ,NEIC     ,18,7.600, 6.5,18, 2.100,-2.300, 0.200, 6.780, 0.170,-2.690,111.00,82.00,  95.00,257.00,10.00,  57.00,18, 7.630,53.00, 27.00,-7.630,37.00,196.00, 0.000, 5.00,290.00
  1547491,NEIC     ,1999-03-28,19:05:11.03, 30.5120,  79.4030, 15.0,        ,CSEM     ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,108.00,78.00, 140.00,208.00,51.00,  16.00,  ,      ,36.00, 60.00,      ,17.00,163.00,      ,49.00,274.00
  1547491,HRVD     ,1999-03-28,19:05:18.10, 30.3800,  79.2100, 15.0,TRUE    ,HRVD     ,18,7.800, 6.5,18, 1.580,-1.830, 0.250, 6.840, 0.840,-3.180,115.00,83.00,  92.00,280.00, 7.00,  75.00,18, 7.510,52.00, 27.00,-8.030,38.00,203.00, 0.520, 2.00,295.00
